id,Main_mood,happy,sad,romantic,calm
114,happy,sad,romantic,calm,0,0,0,0
115,romantic,0,0,4,0
116,happy,1,0,0,0
117,romantic,2,0,3,0
118,happy,sad,romantic,calm,0,0,0,0
119,happy,2,0,0,0
120,happy,14,6,8,10
121,happy,sad,calm,1,1,0,1
122,romantic,0,4,7,4
123,happy,2,0,0,0
124,happy,sad,romantic,calm,0,0,0,0
125,happy,8,6,0,0
126,happy,sad,calm,2,2,0,2
127,happy,14,2,0,0
128,romantic,4,3,16,10
129,romantic,1,2,14,0
130,romantic,0,0,4,0
131,calm,5,7,7,8
132,sad,8,12,11,1
133,sad,1,7,1,0
134,romantic,1,4,5,1
135,sad,1,9,2,0
136,happy,3,2,1,0
137,sad,3,10,5,2
138,sad,0,2,1,0
139,sad,0,7,3,3
140,sad,0,14,1,0
141,sad,2,6,2,1
142,romantic,4,5,8,4
143,romantic,4,1,5,1
144,sad,3,18,14,12
145,romantic,0,2,4,1
146,romantic,3,7,8,1
147,romantic,3,3,9,2
148,happy,6,3,4,0
149,romantic,2,5,13,2
150,sad,1,7,4,3
151,sad,4,8,5,2
152,sad,23,25,24,0
153,sad,romantic,1,3,3,1
154,calm,1,2,2,3
155,happy,3,2,2,1
156,sad,romantic,1,4,4,3
157,happy,6,2,3,0
158,romantic,2,2,4,0
159,romantic,3,1,6,0
160,romantic,1,0,3,0
161,romantic,3,2,4,1
162,romantic,4,3,8,2
163,sad,0,5,2,1
164,sad,romantic,2,11,11,5
165,romantic,0,1,6,1
166,romantic,4,12,17,7
167,romantic,1,4,13,4
168,romantic,1,1,4,1
169,romantic,2,0,6,0
170,sad,1,2,1,0
171,romantic,0,0,1,0
172,romantic,2,5,21,3
173,romantic,1,1,3,1
174,happy,calm,4,0,1,4
175,romantic,7,4,15,6
176,romantic,5,3,44,3
177,sad,romantic,0,2,2,1
178,romantic,2,2,5,1
179,romantic,4,3,12,3
180,romantic,2,7,10,6
181,romantic,5,4,13,1
182,romantic,2,6,9,7
183,romantic,3,0,10,0
184,romantic,3,0,5,0
185,happy,romantic,4,0,4,1
186,happy,4,0,1,0
187,happy,romantic,4,0,4,0
188,romantic,1,0,9,0
189,happy,2,0,1,0
190,romantic,4,4,6,3
191,sad,7,13,8,5
192,happy,sad,romantic,3,3,3,1
193,happy,sad,5,5,4,0
194,romantic,2,1,4,0
195,romantic,1,4,21,3
196,sad,romantic,1,2,2,0
197,happy,15,1,13,0
198,sad,0,21,20,18
199,romantic,0,1,2,0
200,romantic,3,0,6,0
201,sad,romantic,3,10,10,5
202,sad,0,9,3,3
203,romantic,4,4,8,4
204,romantic,0,1,7,2
205,romantic,0,0,2,1
206,romantic,1,1,13,1
207,romantic,4,6,11,6
208,romantic,2,2,15,2
209,sad,4,5,4,2
210,romantic,4,6,10,5
211,happy,romantic,7,2,7,3
212,romantic,3,5,18,6
213,romantic,5,0,12,0
214,romantic,3,1,7,2
215,romantic,1,0,9,0
216,romantic,9,10,25,8
217,happy,28,4,27,1
218,romantic,0,2,7,2
219,romantic,4,3,10,1
220,romantic,0,4,9,0
221,romantic,10,0,18,0
222,romantic,4,0,26,0
223,happy,2,1,1,0
224,sad,0,1,0,0
225,romantic,0,2,17,0
226,romantic,1,12,19,12
227,romantic,0,3,8,3
228,romantic,2,0,3,0
229,romantic,5,6,11,2
230,romantic,2,11,12,10
231,romantic,1,3,5,1
232,sad,3,8,1,0
233,sad,romantic,29,48,48,29
234,sad,147,158,52,134
235,romantic,43,43,44,27
236,romantic,45,45,68,45
237,sad,50,59,58,37
238,sad,18,30,19,11
239,romantic,22,29,41,13
240,sad,romantic,0,2,2,1
241,sad,2,6,4,2
242,sad,1,4,1,0
243,happy,sad,romantic,1,1,1,0
244,romantic,2,1,4,0
245,happy,5,4,3,3
246,romantic,1,12,18,4
247,sad,romantic,1,7,7,3
248,sad,2,5,3,1
249,happy,sad,romantic,calm,0,0,0,0
250,romantic,2,1,4,0
251,sad,6,13,8,2
252,sad,9,15,6,1
253,romantic,18,17,30,7
254,romantic,2,5,7,3
255,romantic,3,4,7,4
256,sad,romantic,0,1,1,0
257,sad,12,18,16,14
258,sad,3,5,3,1
259,romantic,2,2,3,0
260,happy,11,5,10,0
261,romantic,2,4,7,2
262,romantic,4,8,9,2
263,sad,romantic,1,2,2,1
264,romantic,4,3,6,1
265,sad,2,6,2,2
266,sad,2,11,3,0
267,romantic,5,4,10,0
268,sad,8,11,6,2
269,romantic,3,0,9,0
270,romantic,4,9,19,0
271,romantic,9,13,16,14
272,sad,1,6,5,3
273,sad,4,7,2,4
274,romantic,8,4,14,1
275,sad,2,10,3,3
276,romantic,3,3,7,3
277,romantic,8,11,18,2
278,sad,19,27,19,1
279,sad,3,5,4,2
280,romantic,3,1,6,1
281,romantic,5,1,15,10
282,romantic,1,0,3,0
283,romantic,1,0,3,0
284,happy,sad,romantic,2,2,2,0
285,romantic,0,0,1,0
286,sad,0,1,0,0
287,romantic,2,0,13,0
288,romantic,0,1,3,1
289,romantic,4,2,6,2
290,romantic,1,4,6,4
291,romantic,2,5,6,1
292,romantic,4,1,5,1
293,romantic,10,10,12,0
294,romantic,9,5,11,1
295,romantic,0,4,5,0
296,sad,2,4,3,0
297,sad,2,4,1,2
298,happy,4,3,3,0
299,romantic,2,1,3,0
300,romantic,3,4,11,4
301,romantic,2,2,6,1
302,romantic,2,3,11,3
303,romantic,4,3,13,0
304,romantic,2,2,4,2
305,romantic,1,1,6,1
306,romantic,2,4,8,2
307,romantic,2,0,3,0
308,romantic,2,3,7,3
309,romantic,0,4,8,3
310,romantic,6,3,9,1
311,romantic,6,6,17,5
312,romantic,5,0,8,0
313,happy,romantic,2,0,2,1
314,happy,7,1,1,1
315,happy,romantic,calm,1,0,1,1
316,happy,1,0,0,0
317,sad,7,9,5,0
318,calm,1,2,1,4
319,romantic,1,4,25,3
320,sad,1,13,4,0
321,sad,2,6,2,1
322,sad,3,5,3,0
323,sad,4,11,5,0
324,sad,1,3,1,1
325,sad,0,3,2,0
326,romantic,1,3,9,0
327,sad,5,9,6,2
328,sad,0,2,0,1
329,sad,0,3,1,1
330,romantic,3,2,7,2
331,romantic,6,12,13,3
332,romantic,4,6,9,3
333,sad,5,7,5,1
334,sad,4,8,3,4
335,romantic,5,4,6,0
336,happy,romantic,10,5,10,7
337,happy,5,4,3,0
338,happy,sad,4,4,1,0
339,calm,0,5,2,6
340,romantic,1,1,6,0
341,happy,sad,3,3,2,0
342,sad,5,6,1,0
343,sad,2,5,3,2
344,sad,0,4,3,0
345,romantic,4,3,12,0
346,sad,3,7,5,2
347,happy,sad,romantic,calm,0,0,0,0
348,romantic,0,9,15,8
349,romantic,6,13,15,2
350,romantic,2,4,7,3
351,sad,romantic,0,4,4,0
352,sad,10,17,15,8
353,sad,19,27,17,2
354,romantic,23,30,32,18
355,romantic,30,30,34,6
356,sad,1,7,6,3
357,sad,1,22,18,14
358,sad,romantic,1,11,11,1
359,romantic,2,2,4,1
360,happy,15,11,8,0
361,calm,2,9,9,10
362,romantic,7,14,16,0
363,romantic,6,14,19,6
364,romantic,0,2,22,0
365,sad,3,17,9,5
366,sad,2,19,15,13
367,sad,1,14,1,1
368,romantic,1,17,28,21
369,romantic,3,6,10,0
370,sad,0,27,18,5
371,romantic,0,2,4,0
372,romantic,1,0,3,0
373,sad,1,6,4,5
374,happy,13,3,12,2
375,happy,sad,1,1,0,0
376,romantic,1,3,15,2
377,romantic,0,0,4,0
378,sad,6,7,2,4
379,sad,0,1,0,0
380,romantic,5,4,10,0
381,romantic,4,2,6,0
382,sad,romantic,2,15,15,12
383,happy,sad,romantic,calm,0,0,0,0
384,happy,romantic,1,0,1,0
385,sad,1,12,10,7
386,happy,5,3,4,0
387,happy,romantic,8,2,8,1
388,romantic,1,5,9,4
389,romantic,0,1,2,1
390,romantic,0,0,54,4
391,romantic,3,7,9,4
392,romantic,0,6,14,1
393,romantic,1,5,11,0
394,sad,0,6,3,0
395,romantic,0,1,5,1
396,happy,7,4,1,5
397,happy,sad,7,7,4,1
398,sad,34,87,73,33
399,romantic,4,1,7,0
400,sad,14,44,42,9
401,romantic,3,3,12,0
402,romantic,5,11,14,0
403,sad,13,55,47,23
404,romantic,1,0,2,0
405,calm,1,0,0,2
406,sad,19,34,31,9
407,sad,13,43,41,19
408,romantic,1,5,9,3
409,romantic,5,5,7,0
410,sad,0,16,15,6
411,sad,romantic,11,46,46,21
412,romantic,0,0,2,0
413,romantic,0,1,9,1
414,romantic,0,3,6,4
415,romantic,2,3,5,0
416,romantic,0,5,6,1
417,sad,1,3,0,0
418,sad,3,6,2,0
419,sad,6,14,4,1
420,sad,12,31,3,0
421,sad,5,22,12,8
422,romantic,6,17,19,0
423,sad,6,13,5,0
424,happy,sad,romantic,calm,0,0,0,0
425,romantic,0,0,5,0
426,romantic,0,0,1,0
427,sad,0,1,0,0
428,sad,4,27,10,10
429,sad,romantic,calm,0,2,2,2
430,romantic,2,3,5,1
431,romantic,3,2,5,0
432,sad,romantic,1,2,2,0
433,happy,9,4,8,3
434,happy,sad,4,4,3,2
435,sad,romantic,calm,0,1,1,1
436,happy,8,4,2,0
437,happy,10,1,8,0
438,happy,sad,8,8,0,0
439,happy,71,64,6,60
440,happy,22,1,11,4
441,sad,5,47,11,10
442,romantic,8,0,26,10
443,sad,10,12,8,2
444,romantic,96,96,120,2
445,romantic,32,32,76,32
446,sad,12,19,10,9
447,romantic,3,3,5,3
448,sad,41,90,11,3
449,romantic,14,15,16,14
450,romantic,21,11,41,20
451,romantic,7,3,17,2
452,romantic,5,3,10,1
453,happy,15,13,8,1
454,romantic,15,14,16,12
455,romantic,6,2,8,7
456,happy,sad,romantic,calm,1,1,1,1
457,sad,romantic,calm,2,4,4,4
458,romantic,0,0,8,0
459,romantic,0,2,15,2
460,romantic,0,0,7,4
461,sad,0,4,0,0
462,sad,4,16,6,4
463,sad,0,5,0,0
464,sad,0,2,0,0
465,sad,1,4,3,0
466,romantic,2,2,9,1
467,romantic,5,6,14,2
468,romantic,0,0,2,1
469,romantic,4,9,16,0
470,sad,0,8,7,3
471,sad,0,3,1,0
472,happy,9,8,8,1
473,romantic,1,1,2,0
474,romantic,2,5,7,4
475,sad,romantic,2,3,3,0
476,sad,2,5,2,0
477,sad,5,11,7,0
478,romantic,1,0,2,0
479,romantic,1,2,4,1
480,sad,calm,0,2,1,2
481,happy,4,0,2,0
482,sad,5,16,5,2
483,sad,2,5,4,2
484,sad,1,10,3,7
485,romantic,1,4,5,3
486,sad,0,2,1,0
487,romantic,1,4,7,5
488,happy,sad,1,1,0,0
489,romantic,2,0,3,0
490,happy,romantic,6,2,6,4
491,sad,0,1,0,0
492,sad,0,27,2,0
493,romantic,5,4,10,4
494,romantic,2,2,10,1
495,sad,1,2,1,1
496,sad,romantic,0,5,5,3
497,sad,2,3,0,0
498,romantic,4,1,9,0
499,romantic,0,2,5,1
500,happy,sad,romantic,calm,0,0,0,0
501,romantic,0,0,9,0
502,romantic,4,0,10,0
503,calm,0,2,18,26
504,sad,romantic,0,6,6,3
505,romantic,0,2,9,1
506,romantic,5,0,9,0
507,sad,1,7,2,1
508,romantic,3,7,22,1
509,romantic,2,0,11,0
510,sad,3,9,7,5
511,romantic,2,2,7,1
512,happy,3,0,0,0
513,happy,4,1,3,3
514,romantic,0,0,3,0
515,calm,2,1,3,4
516,romantic,0,0,1,0
517,romantic,1,1,3,1
518,sad,romantic,0,5,5,0
519,sad,1,7,4,1
520,sad,3,4,2,3
521,sad,3,11,2,1
522,romantic,3,5,9,1
523,romantic,0,2,6,0
524,calm,1,2,2,4
525,sad,8,11,5,6
526,romantic,1,4,14,4
527,romantic,1,0,8,0
528,romantic,3,3,32,2
529,romantic,0,3,4,3
530,romantic,9,9,19,8
531,romantic,3,1,8,1
532,sad,1,2,1,1
533,romantic,2,2,5,2
534,romantic,1,0,3,0
535,romantic,4,0,13,1
536,romantic,6,6,7,0
537,happy,romantic,2,1,2,0
538,romantic,2,10,11,9
539,romantic,3,0,6,0
540,romantic,2,0,7,0
541,romantic,4,2,12,2
542,calm,4,2,2,5
543,sad,romantic,1,2,2,1
544,romantic,1,2,3,2
545,romantic,2,0,7,0
546,romantic,7,12,23,8
547,sad,1,5,4,2
548,sad,0,2,0,0
549,romantic,26,2,31,2
550,romantic,2,2,5,2
551,romantic,1,3,7,1
552,sad,romantic,2,6,6,1
553,sad,8,17,12,0
554,sad,0,8,2,0
555,happy,sad,19,19,1,0
556,romantic,0,16,34,8
557,romantic,17,7,23,2
558,sad,1,4,3,0
559,romantic,3,4,16,2
560,sad,2,3,1,1
561,romantic,2,11,24,6
562,sad,1,10,0,0
563,romantic,3,4,7,2
564,sad,1,3,1,0
565,sad,1,3,2,0
566,sad,2,10,9,0
567,romantic,0,7,11,0
568,romantic,1,1,6,0
569,romantic,3,7,9,4
570,happy,5,4,3,0
571,calm,2,1,0,8
572,romantic,6,9,19,3
573,romantic,1,0,5,0
574,romantic,2,0,26,0
575,sad,romantic,2,4,4,1
576,romantic,2,9,10,8
577,romantic,4,0,5,1
578,romantic,1,5,11,2
579,romantic,2,5,10,4
580,happy,romantic,2,1,2,0
581,romantic,2,10,13,4
582,romantic,0,3,10,3
583,romantic,2,1,3,1
584,romantic,0,3,4,3
585,romantic,4,4,7,2
586,romantic,4,8,11,0
587,romantic,2,1,7,0
588,sad,2,5,3,3
589,sad,4,8,4,2
590,romantic,0,2,6,0
591,sad,romantic,5,7,7,1
592,sad,1,6,2,2
593,sad,1,8,2,1
594,happy,5,3,2,1
595,happy,4,1,3,0
596,romantic,2,2,5,0
597,romantic,3,3,7,0
598,sad,romantic,1,5,5,2
599,sad,0,2,1,0
600,romantic,4,12,13,8
601,romantic,1,3,4,1
602,sad,romantic,2,3,3,0
603,happy,sad,2,2,0,0
604,happy,romantic,5,4,5,1
605,sad,0,9,6,4
606,calm,14,15,6,17
607,romantic,0,2,5,1
608,sad,0,2,1,0
609,sad,0,1,0,0
610,romantic,0,2,9,2
611,romantic,6,4,9,2
612,sad,romantic,2,8,8,6
613,romantic,4,3,9,0
614,romantic,1,3,5,1
615,romantic,0,2,5,0
616,sad,0,7,3,3
617,sad,romantic,0,1,1,0
618,romantic,4,5,8,5
619,happy,8,3,5,0
620,romantic,6,2,16,2
621,romantic,2,4,6,0
622,romantic,7,6,9,0
623,happy,sad,romantic,calm,0,0,0,0
624,romantic,2,0,9,1
625,sad,romantic,1,4,4,3
626,happy,sad,5,5,1,2
627,sad,romantic,calm,0,2,2,2
628,romantic,4,3,7,2
629,happy,3,2,1,0
630,romantic,5,5,6,3
631,sad,0,2,1,0
632,happy,romantic,1,0,1,0
633,romantic,3,0,5,0
634,happy,14,6,11,0
635,sad,4,5,2,0
636,romantic,5,1,6,0
637,sad,0,13,1,1
638,romantic,1,2,4,1
639,sad,romantic,1,3,3,0
640,romantic,2,2,5,1
641,sad,2,3,1,0
642,happy,5,2,3,0
643,romantic,3,1,5,1
644,romantic,2,6,7,3
645,sad,1,31,30,0
646,romantic,4,4,6,0
647,romantic,3,1,7,1
648,romantic,0,11,14,2
649,romantic,4,14,25,13
650,sad,3,8,7,5
651,happy,9,3,8,1
652,romantic,5,5,8,2
653,romantic,1,1,4,0
654,romantic,0,2,3,1
655,happy,4,3,3,1
656,sad,romantic,1,3,3,2
657,happy,romantic,2,0,2,0
658,romantic,7,3,11,1
659,romantic,3,8,13,8
660,romantic,0,0,2,1
661,romantic,8,13,16,10
662,sad,0,2,1,1
663,sad,8,20,12,6
664,romantic,0,2,5,1
665,sad,7,8,5,4
666,romantic,0,4,7,2
667,sad,3,8,5,2
668,romantic,5,12,25,9
669,sad,4,17,10,10
670,romantic,5,13,15,4
671,romantic,9,30,41,20
672,romantic,2,11,24,7
673,sad,romantic,6,17,17,11
674,sad,romantic,0,1,1,0
675,romantic,5,9,17,3
676,sad,romantic,3,18,18,13
677,sad,2,17,5,2
678,sad,9,19,6,4
679,calm,0,2,5,23
680,romantic,8,8,22,0
681,happy,romantic,1,0,1,0
682,sad,6,11,7,0
683,sad,2,10,4,1
684,sad,0,2,1,1
685,sad,2,5,1,1
686,sad,3,12,4,4
687,happy,sad,romantic,3,3,3,1
688,sad,1,14,2,0
689,romantic,1,3,17,1
690,romantic,14,8,26,5
691,happy,26,22,14,12
692,happy,12,2,4,4
693,romantic,8,4,10,6
694,happy,24,4,0,0
695,happy,48,26,28,44
696,happy,8,7,3,1
697,sad,3,9,5,4
698,sad,8,11,3,2
699,romantic,1,4,5,3
700,sad,1,9,3,0
701,romantic,0,1,2,0
702,romantic,6,12,23,4
703,sad,1,8,6,2
704,sad,11,13,0,4
705,sad,5,7,6,2
706,sad,5,18,14,13
707,romantic,6,8,10,1
708,happy,36,6,5,0
709,sad,4,11,8,0
710,sad,2,5,3,1
711,sad,2,4,3,2
712,sad,4,10,7,1
713,sad,4,15,13,6
714,sad,2,10,0,0
715,happy,sad,calm,1,1,0,1
716,happy,2,1,1,0
717,happy,romantic,6,1,6,1
718,romantic,2,1,8,1
719,happy,2,0,1,0
720,sad,20,22,6,3
721,sad,7,11,0,6
722,romantic,0,0,3,1
723,happy,sad,6,6,1,2
724,romantic,1,2,4,1
725,happy,12,11,10,7
726,sad,romantic,1,9,9,8
727,calm,8,8,6,9
728,romantic,0,0,8,0
729,sad,calm,2,4,3,4
730,romantic,6,4,10,4
731,romantic,0,3,9,3
732,romantic,0,0,3,1
733,romantic,0,2,3,1
734,romantic,5,0,9,1
735,romantic,3,2,7,1
736,romantic,2,3,6,3
737,romantic,1,1,2,1
738,romantic,4,3,10,3
739,sad,romantic,calm,0,1,1,1
740,romantic,0,6,13,3
741,romantic,0,4,7,4
742,happy,7,4,5,0
743,romantic,4,7,10,4
744,romantic,0,0,1,0
745,happy,4,0,2,0
746,romantic,3,1,14,1
747,sad,2,15,1,3
748,happy,sad,romantic,calm,0,0,0,0
749,romantic,0,7,8,7
750,romantic,0,1,2,0
751,sad,3,4,3,0
752,romantic,2,2,13,2
753,romantic,4,5,9,2
754,romantic,5,3,6,2
755,romantic,0,3,5,1
756,romantic,2,0,4,0
757,romantic,0,7,11,7
758,sad,2,9,4,4
759,romantic,2,1,5,0
760,sad,calm,2,3,2,3
761,romantic,2,1,5,1
762,romantic,2,2,3,1
763,romantic,3,5,6,0
764,romantic,4,3,6,0
765,romantic,2,1,6,1
766,sad,0,12,10,9
767,romantic,0,0,2,0
768,happy,45,42,22,18
769,romantic,0,0,24,0
770,sad,14,49,40,16
771,sad,3,6,3,1
772,romantic,1,1,5,1
773,romantic,2,4,5,0
774,sad,0,1,0,0
775,romantic,1,0,2,0
776,romantic,2,2,9,2
777,sad,1,9,2,1
778,sad,7,11,4,3
779,romantic,1,4,5,0
780,romantic,0,4,9,0
781,romantic,1,25,47,22
782,romantic,2,12,28,11
783,romantic,0,8,21,0
784,romantic,1,0,4,0
785,sad,4,9,6,2
786,romantic,3,0,12,0
787,romantic,2,0,7,0
788,romantic,0,1,3,1
789,romantic,2,3,13,4
790,romantic,2,0,13,1
791,sad,1,13,11,11
792,romantic,7,1,8,1
793,romantic,0,0,6,0
794,romantic,4,5,28,2
795,romantic,1,2,23,1
796,sad,romantic,0,3,3,1
797,sad,4,12,11,4
798,romantic,2,0,6,0
799,happy,6,5,4,1
800,happy,sad,romantic,2,2,2,1
801,sad,1,12,2,2
802,romantic,6,2,11,1
803,romantic,1,2,15,0
804,romantic,2,1,6,1
805,happy,44,42,30,27
806,romantic,1,0,14,0
807,romantic,2,7,9,6
808,happy,sad,romantic,1,1,1,0
809,romantic,0,6,13,0
810,romantic,0,60,77,17
811,romantic,2,0,5,0
812,romantic,2,7,12,4
813,sad,1,5,3,0
814,romantic,3,0,12,0
815,romantic,1,0,6,0
816,happy,1,0,0,0
817,romantic,2,1,4,0
818,romantic,0,1,8,0
819,happy,7,2,5,2
820,romantic,1,1,2,1
821,romantic,0,0,1,0
822,romantic,6,6,8,2
823,romantic,0,0,5,0
824,romantic,5,0,7,0
825,sad,3,5,0,3
826,romantic,0,5,6,0
827,romantic,4,0,8,0
828,sad,0,2,1,1
829,romantic,1,0,8,0
830,romantic,1,1,5,0
831,happy,sad,romantic,calm,0,0,0,0
832,happy,romantic,2,1,2,0
833,romantic,0,4,6,3
834,romantic,9,4,22,3
835,happy,10,6,3,0
836,romantic,1,2,5,1
837,romantic,0,8,10,7
838,romantic,0,0,2,0
839,romantic,1,1,11,0
840,romantic,0,2,3,0
841,romantic,2,1,5,1
842,romantic,2,0,4,0
843,romantic,1,2,3,1
844,romantic,7,39,40,36
845,romantic,5,6,8,0
846,happy,romantic,6,1,6,0
847,romantic,3,6,14,4
848,sad,2,7,5,0
849,romantic,3,5,6,3
850,romantic,5,7,16,4
851,romantic,1,3,8,0
852,romantic,1,0,20,0
853,sad,romantic,2,5,5,2
854,romantic,3,5,17,3
855,romantic,0,1,4,0
856,romantic,1,1,5,0
857,happy,sad,romantic,calm,0,0,0,0
858,happy,romantic,16,15,16,15
859,happy,4,1,2,2
860,sad,0,18,2,1
861,sad,5,15,9,3
862,sad,5,9,7,2
863,sad,4,20,7,3
864,sad,4,11,8,7
865,sad,4,26,14,10
866,sad,5,14,4,4
867,sad,4,9,6,4
868,romantic,1,7,19,7
869,sad,romantic,2,5,5,1
870,romantic,2,4,11,3
871,romantic,5,19,30,17
872,romantic,8,1,12,0
873,romantic,8,7,11,6
874,sad,3,8,6,5
875,romantic,8,7,13,3
876,sad,romantic,2,3,3,1
877,happy,6,4,2,4
878,romantic,1,1,6,0
879,romantic,2,1,24,1
880,romantic,1,7,8,6
881,sad,7,19,16,9
882,romantic,2,6,10,6
883,romantic,4,3,8,3
884,happy,sad,calm,5,5,4,5
885,romantic,1,1,4,1
886,romantic,0,2,4,2
887,romantic,2,7,12,7
888,happy,6,0,1,0
889,romantic,3,3,7,3
890,romantic,1,2,4,0
891,romantic,3,0,28,0
892,happy,sad,romantic,2,2,2,0
893,romantic,3,3,8,2
894,romantic,2,3,10,0
895,romantic,0,0,2,0
896,romantic,0,0,3,0
897,sad,1,3,1,0
898,sad,romantic,4,8,8,3
899,sad,romantic,1,5,5,0
900,romantic,0,1,3,1
901,romantic,2,12,16,10
902,happy,romantic,2,0,2,0
903,romantic,3,2,8,0
904,happy,9,1,8,0
905,romantic,3,4,23,4
906,sad,1,6,4,2
907,romantic,1,0,13,3
908,romantic,0,3,5,0
909,sad,27,45,17,35
910,sad,romantic,calm,0,6,6,6
911,happy,2,1,1,0
912,romantic,0,0,13,0
913,sad,romantic,0,3,3,2
914,happy,4,0,3,0
915,happy,romantic,6,3,6,5
916,romantic,6,3,18,2
917,romantic,5,0,6,0
918,happy,sad,romantic,1,1,1,0
919,happy,6,0,3,0
920,romantic,5,0,14,1
921,sad,0,6,5,3
922,romantic,8,8,10,4
923,romantic,2,4,5,3
924,sad,4,7,5,5
925,romantic,6,1,11,1
926,romantic,0,8,19,0
927,romantic,6,2,13,1
928,happy,8,5,6,4
929,happy,6,3,3,2
930,happy,sad,romantic,calm,0,0,0,0
931,sad,0,3,2,0
932,happy,10,4,1,0
933,happy,sad,romantic,1,1,1,0
934,happy,romantic,7,3,7,2
935,romantic,3,3,5,1
936,romantic,1,10,14,13
937,romantic,2,0,14,0
938,romantic,2,2,4,1
939,romantic,0,1,9,1
940,romantic,4,3,10,3
941,romantic,1,15,19,13
942,romantic,6,0,7,0
943,romantic,0,4,19,3
944,romantic,6,8,17,5
945,happy,14,9,6,10
946,happy,romantic,32,0,32,29
947,romantic,0,2,4,2
948,romantic,1,3,8,3
949,romantic,2,0,12,0
950,romantic,0,0,3,0
951,romantic,6,4,9,1
952,romantic,1,1,2,0
953,romantic,1,1,2,0
954,romantic,5,11,20,11
955,romantic,8,4,11,2
956,romantic,1,1,2,0
957,romantic,5,2,7,3
958,romantic,3,2,8,3
959,happy,4,1,3,1
960,happy,2,1,1,1
961,romantic,7,3,10,3
962,happy,romantic,3,2,3,0
963,happy,8,6,6,1
964,happy,9,2,7,2
965,happy,2,0,1,0
966,sad,romantic,2,7,7,5
967,romantic,3,2,10,0
968,romantic,0,5,6,5
969,romantic,1,0,2,0
970,happy,sad,romantic,calm,0,0,0,0
971,sad,romantic,1,2,2,0
972,romantic,calm,0,1,2,2
973,sad,0,2,1,1
974,romantic,1,2,11,2
975,sad,3,11,3,0
976,happy,8,1,5,1
977,romantic,1,1,2,1
978,romantic,1,0,13,0
979,romantic,4,8,12,8
980,sad,1,30,11,2
